q,jaccard,aitm,qitm,article,answer,iw,v,n,dup,len,answerable,max_rouge
香港澳門臺灣菲律賓新加坡等地區均有業務的亞洲電視頻道為哪一個頻道?,0.1904761904761904,"電影,頻道,福斯家庭,娛樂,梅耶,一個,亞洲,電視,由福斯國際,頻道持,STAR,衛視發,澳門,菲律賓,西亞,地區,有業務,簽訂,電影合,單位,20,世紀,高梅,Studio,Cana","香港,澳門,臺,灣,菲律賓,新加坡,地區,有業務,亞洲,電視,頻道,一個",福斯家庭電影頻道（）是一個播放電影的亞洲電視頻道，由福斯國際頻道持有與出品，STAR衛視發佈。在香港、澳門、臺灣、菲律賓、新加坡、馬來西亞等地區均有業務。福斯家庭電影頻道已簽訂電影合約的單位包括20世紀福斯、迪斯尼、米高梅 - 梅耶，Studio Cana、獅門娛樂、頂峯娛樂、溫斯坦公司等。該電影頻道面向老人和兒童，主要提供家庭電影。,福斯家庭電影頻道,1,1,1,1,37,True,0.5507389162561577
哪一個俄羅斯聯邦功勳軍事飛行員勳章的設計與俄羅斯聯邦功勳軍事飛行員勳章大致相同?,0.1111111111111111,"俄羅斯,聯邦,軍事,功勳,領航員,頭銜,勳章,俄語,榮譽,此榮譽,防部,國家,軍事領,航員源,自蘇聯,時期,蘇聯功,勳軍事,蘇維埃,1965,26,日建立,1991,蘇聯,解體","哪一個,俄羅斯,聯邦,功勳,軍事,飛行員,勳章,設計,飛行員勳,章大致,相同",俄羅斯聯邦功勳軍事領航員（俄語：Заслуженный военный штурман Российской Федерации），是俄羅斯聯邦的國家榮譽頭銜之一。俄羅斯聯邦功勳軍事領航員源自蘇聯時期的。“蘇聯功勳軍事領航員”的榮譽頭銜是由最高蘇維埃於1965年1月26日建立；隨著1991年蘇聯解體，此榮譽頭銜於1992年3月20日 被更名為“俄羅斯聯邦功勳軍事領航員”。俄羅斯聯邦功勳軍事領航員的榮譽頭銜是頒發給軍隊、軍校及其他軍事或聯邦機構中在航空技術或軍事教育表現表現卓越、在作戰和訓練時表現傑出及領航時長期沒有發生故障的領航員 。俄羅斯總統負責根據俄羅斯國防部的建議授予此榮譽頭銜。受勳者應把勳章戴在胸部的右邊，並且要和其他類似的勳章放在一起。此勳章的設計和俄羅斯聯邦功勳軍事飛行員勳章大致相同。俄羅斯聯邦功勳軍事領航員的勳章長23毫米，寬27毫米，邊緣凸起。獎章正面頂部有“功勳軍事領航員”（俄語：ЗАСЛУЖЕННЫЙ ВОЕННЫЙ ШТУРМАН）的字樣，分為三行，中央則有一架浮雕的噴射機，底部則有一行字“俄羅斯”（俄語：РОССИЯ），疊在一些月桂樹樹支上；勳章上的綬帶為白、藍、紅三色。,俄羅斯聯邦功勳軍事領航員,1,1,1,1,40,True,0.2366818873668189
哪一個節目是鳳凰衛視的一個以關注保護地球為主題的短節目?,0.1363636363636363,"中文,鳳凰衛視,保護,地球,播出,英語,Earth,Report,一檔,以關,注保護,主題,節目,2007,開播,週一至,週五,每天播,時長,分鐘,曾安排,2016,12,30,日播","哪一個,節目,鳳凰衛視,一個,以關,注保護,地球,主題,短",地球宣言（英語：Earth Report）是鳳凰衛視的一檔以關注保護地球爲主題的短節目。2007年開播，週一至週五每天播出一期，時長3分鐘，曾安排在鳳凰衛視中文臺播出，已於2016年12月30日播出最後一期。與中文臺大部分節目不同的是，該節目僅安排在中文臺播出，不安排在歐洲臺、美洲臺及澳洲版播出。本節目的主要內容圍繞保護地球這一主題，例如：南極冰川的變遷、超級颶風、保護非物質遺產、瀕臨滅絕物種的保育、城市化帶來的污染及傳統風俗的消失等等。,地球宣言,1,1,1,1,28,True,0.4739756367663345
林氏十六世祖葉先生來臺時所攜觀音菩薩像於自宅設佛堂奉祀演變成今日的什麼?,0.1627906976744186,"觀音,湖內區,菩薩,大湖,林氏,灣高雄市,觀音廟,主祀,湖碧湖,大湖長,壽宮,三大公廟,十六世祖葉,菩薩像,自宅,設佛堂,歷經,數代演,變成,今大湖,觀世音,正神,虎爺,高雄市,奉祀","林氏,十六世祖葉,先生,臺,時,攜,觀音,菩薩像,自宅,設佛堂,奉祀,演變,成今,日",大湖觀音亭，是位於臺灣高雄市湖內區內的觀音廟，主祀觀音菩薩，與大湖碧湖宮、大湖長壽宮，為高雄市湖內區大湖裏三大公廟之一。林氏十六世祖葉先生，來臺時攜觀音菩薩像於自宅設佛堂奉祀，歷經數代演變成今大湖觀音亭。觀世音菩薩（觀音佛祖）、福德正神、註生娘娘、虎爺,大湖觀音亭,1,1,1,1,38,True,0.7588850174216029
位於日本巖手縣西磐井郡平泉町平泉字泉屋的車站名為什麼?,0.1111111111111111,"車站,平泉,JR,平泉車,東日本,經營,東日,遺跡,曾經,號月,翻修,一度,一由東,鐵道,鐵路車,手縣,西磐井,字泉屋,東北本線,沿線,盛岡,支社,管轄範圍,一之關,設有","位,日本,巖,手縣,西磐井,郡,平泉,町,字泉屋,車站,名為",平泉車站（）是一由東日本旅客鐵道（JR東日本）的所經營鐵路車站，位於日本巖手縣西磐井郡平泉町平泉字泉屋。平泉是JR東北本線沿線車站之一，屬JR東日本盛岡支社管轄範圍，由一之關車站管理，設有綠窗口（），是個營運上由JR東日本子公司Jaster（）代為經營的業務委託車站。平泉車站周圍座落有包含中尊寺、無量光院遺跡與毛越寺在內，曾經在12世紀時繁榮一度的奧州藤原氏所留下之歷史遺跡。2002年時，平泉車站以「與藤原三代時繁華一度的古都平泉相輝映，採用平安朝樣式屋頂的車站站舍」（）之評語，入選東北車站百選。2011年6月，平泉－象徵著佛教淨土的廟宇、園林與考古遺址獲登錄為世界文化遺產。於東日本大地震受損的車站站房開始進行翻修工程，與當地景觀調和而採傳統風格，外牆為深色系，裝飾有百葉，車站站名以書法牌匾取代舊式壓克力黑體字。車站站內照明改用LED，並在閒置的站場鋪設太陽能板發電。翻修工程於同年11月完工。對向式月臺2面2線的地面車站。曾經2號月臺對面設有3號月臺，現在軌道已經拆去。,平泉車站,1,1,1,1,27,True,0.4714285714285715
哈薩克國家足球隊及卡拉特足球會的主場位於哪一個體育場?,0.1363636363636363,"體育場,阿拉木圖,舉行,一座位,哈薩克,綜合性,哈薩克國家,足球隊,卡拉特足,球會,主場,阿拉木,圖主辦,2012,年班迪球,標賽,預備,滑冰場,賽事,興建,組和,組賽,13,名爭,奪賽","哈薩克國家,足球隊,卡拉特足,球會,主場,位,一個,體育場",阿拉木圖中央體育場是一座位於哈薩克阿拉木圖的綜合性體育場。它也作為哈薩克國家足球隊及卡拉特足球會的主場。阿拉木圖主辦2012年班迪球世界錦標賽。中央體育場的預備滑冰場是為了該賽事而興建的。B組和C組賽事都於此舉行，除了第13名爭奪賽於麥迪奧舉行。,阿拉木圖中央體育場,1,1,1,1,27,True,0.6116959064327485
哪一個體育場為卡拉特足球會的主場?,0.125,"卡拉特足,球會,哈薩克,阿拉木圖,Football,Club,Kairat,支位,職業,足球會,超級,聯賽,主場,體育場,角逐,足球,中央,目前","哪一個,體育場,卡拉特足,球會,主場",卡拉特足球會（Football Club Kairat 、）是一支位於哈薩克阿拉木圖的職業足球會，目前於哈薩克超級足球聯賽角逐。卡拉特足球會的主場是阿拉木圖中央體育場。,阿拉木圖中央體育場,1,1,1,1,17,True,0.5695906432748539
卡拉特足球會的主場位於哪一個體育場?,0.125,"卡拉特足,球會,哈薩克,阿拉木圖,Football,Club,Kairat,支位,職業,足球會,超級,聯賽,主場,體育場,角逐,足球,中央,目前","卡拉特足,球會,主場,位,一個,體育場",卡拉特足球會（Football Club Kairat 、）是一支位於哈薩克阿拉木圖的職業足球會，目前於哈薩克超級足球聯賽角逐。卡拉特足球會的主場是阿拉木圖中央體育場。,阿拉木圖中央體育場,1,1,1,1,18,True,0.6116959064327485
大田廣域市西區的哪一個車站是湖南線的一個車站?,0.5555555555555556,"佳水院,韓國,大田廣域,市西區,一個,車站,湖南線","大田廣域,市西區,一個,車站,湖南線",佳水院站（）是位於韓國大田廣域市西區的一個車站，屬於湖南線。,佳水院站,1,1,1,1,23,True,0.32272727272727275
沃溝線和什麼是韓國全羅北道群山市的貨物站?,0.2307692307692307,"山貨物,韓國,全羅北道,山市,一個,車站,貨物線,沃溝線","沃溝線,韓國,全羅北道,群山市,貨物,站",羣山貨物站（）是位於韓國全羅北道羣山市的一個車站，屬於羣山貨物線和沃溝線。,羣山貨物線,1,1,1,1,21,True,0.5168831168831168
